treatment_company,azimuth,md_ft,tvd_ft,date_on_production,operator,footage_lateral_length,well_spacing,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,porosity,poisson_ratio,water_saturation,toc,vcl,p_velocity,s_velocity,youngs_modulus,isip,breakdown_pressure,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production,difference_in_days,difference_in_weeks,difference_in_years
treatment_company_1,-32.279999,19148,6443.0,2018-03-01,operator_1,11966.0,4368.4629,6.33,12,1093,30123.2,0.68,0.02,0.34,0.85,5.0,0.42,13592.23,6950.44,30.82,4149.0,,83,56,21568792.0,1.23,5614.947951,2179,311.2857142857143,5.96986301369863
treatment_company_2,-19.799999,15150,7602.0,2014-07-01,operator_2,6890.0,4714.9922,1.28,4,0,30951.61,1.85,0.17,0.19,0.69,4.22,0.74,11735.04,7162.45,29.72,5776.0,,102,33,9841307.0,1.47,2188.836707,3518,502.57142857142856,9.638356164383561
treatment_company_3,-26.879999,14950,5907.0,2018-08-01,operator_1,8793.0,798.92096,2.03,6,3254,28900.25,0.29,0.02,0.33,,4.69,0.61,13227.81,6976.93,30.99,4628.0,,88,62,17116240.0,1.67,1450.033022,2026,289.42857142857144,5.550684931506849
treatment_company_4,-49.099998,11098,6538.0,2012-01-01,operator_1,4234.0,,6.0,23,7470,32826.08,0.73,0.03,0.2,,4.4,0.56,12646.34,6799.37,26.2,4582.0,,100,11,3749559.0,0.77,1060.764407,4430,632.8571428571429,12.136986301369863
treatment_company_5,5.5599999,10549,7024.0,2012-01-01,operator_3,2972.0,2967.563,11.87,9,3637,26740.05,0.47,0.02,0.33,0.8,4.66,0.58,13192.18,7046.91,31.18,4909.0,,94,9,6690705.0,1.32,607.5303846,4430,632.8571428571429,12.136986301369863
treatment_company_6,-36.990002,13254,7956.0,2014-07-01,operator_4,4838.0,2108.2561,2.49,7,3099,30416.95,0.07,0.03,0.34,,4.74,0.85,12928.82,6914.76,30.94,,,97,21,6322010.0,0.85,1251.606147,3518,502.57142857142856,9.638356164383561
treatment_company_7,-36.669998,15212,7878.0,2016-02-01,operator_4,7025.0,747.45044,2.89,6,6153,34904.61,0.35,,0.33,,4.78,0.73,12789.52,7103.51,31.64,5808.0,,89,45,15897798.0,1.09,2719.967368,2938,419.7142857142857,8.04931506849315
treatment_company_8,0.17,12283,6399.0,2013-08-01,operator_4,5190.0,3230.9746,6.37,10,0,35143.87,0.47,0.02,0.33,,4.65,0.58,13177.63,7045.44,31.18,4214.0,,82,19,7720984.0,1.16,709.2709608,3852,550.2857142857143,10.553424657534247
treatment_company_9,-32.98,16892,6822.0,2016-01-01,operator_5,9673.0,3658.4426,13.68,15,6578,35153.91,1.18,0.05,0.34,,3.92,1.77,12472.19,6518.9,29.82,5258.0,,70,48,11794115.0,0.93,3026.278863,2969,424.14285714285717,8.134246575342466
treatment_company_10,-48.709999,17134,7394.0,2013-07-01,operator_4,8996.0,1537.6284,6.7,11,0,28125.24,0.36,0.03,0.33,0.87,4.64,0.62,12951.0,7067.79,31.36,5694.0,,71,54,8373132.0,0.46,3445.939647,3883,554.7142857142857,10.638356164383561
treatment_company_11,-28.09,13155,7914.0,2012-07-01,operator_6,5049.0,3045.8044,13.39,8,4808,34279.87,1.4,0.08,0.22,,3.98,0.61,12070.16,6813.06,27.57,4828.0,9120.0,74,9,6001695.0,1.32,1664.355062,4248,606.8571428571429,11.638356164383561
treatment_company_3,-27.33,17888,7437.0,2015-03-01,operator_5,9864.0,4047.5227,3.09,12,635,27153.3,1.29,,0.34,,4.28,1.79,12208.36,6421.66,29.61,5213.0,5554.0,64,49,11430950.0,0.87,2633.709408,3275,467.85714285714283,8.972602739726028
treatment_company_9,-44.549999,11904,7059.0,2011-01-01,operator_7,4450.0,740.15375,7.47,15,0,34735.75,0.29,0.02,0.34,,4.68,0.63,13203.24,6983.49,31.02,4416.0,,89,13,6351477.0,1.3,422.3383461,4795,685.0,13.136986301369863
treatment_company_5,-48.43,15830,7528.0,2014-07-01,operator_8,8180.0,751.70386,331.96,1,6693,32451.85,0.36,0.02,0.33,0.84,4.71,0.59,13266.77,6986.73,31.01,,,84,55,10834362.0,0.9,2619.113528,3518,502.57142857142856,9.638356164383561
treatment_company_4,-47.490002,16599,6146.0,2017-04-01,operator_7,9922.0,3431.4177,5.35,14,0,35042.97,0.35,0.02,0.33,0.86,4.65,0.6,13164.73,7033.62,31.16,4219.0,,95,52,14069535.0,1.23,1305.405685,2513,359.0,6.884931506849315
treatment_company_5,-8.5600004,13266,7549.0,2011-07-01,operator_8,4923.0,,2.76,9,6187,33199.52,1.24,0.04,0.32,0.8,4.9,0.97,12591.02,7452.84,32.84,5639.0,,85,14,,0.37,1205.091027,4614,659.1428571428571,12.64109589041096
treatment_company_12,-36.779999,13993,8027.0,2014-07-01,operator_9,5329.0,,127.13,11,0,34786.71,0.89,0.04,0.27,,4.41,0.47,11603.53,7056.84,31.34,6035.0,10034.0,91,37,8473767.0,1.12,983.4577926,3518,502.57142857142856,9.638356164383561
treatment_company_5,-24.879999,11916,7516.0,2013-07-01,operator_8,3887.0,,307.69,1,1717,31044.9,0.43,0.02,0.33,,4.68,0.59,13213.38,7027.22,31.12,5391.0,,86,13,4544487.0,0.88,895.1185707,3883,554.7142857142857,10.638356164383561
treatment_company_9,-32.790001,11850,8397.0,2013-08-01,operator_10,3089.0,735.71985,4.16,3,0,35192.75,0.7,0.03,0.25,,4.62,0.57,11809.23,7070.36,30.93,6180.0,8950.0,82,11,3187844.0,0.96,1373.773734,3852,550.2857142857143,10.553424657534247
treatment_company_10,-21.209999,11525,6603.0,2013-01-01,operator_11,3874.0,,16.84,7,5066,31990.58,0.47,0.02,0.34,,4.66,0.58,13184.96,7049.93,31.19,4210.0,,69,18,8736369.0,1.25,667.0924295,4064,580.5714285714286,11.134246575342466
treatment_company_9,-41.639999,15315,8281.0,2018-01-01,operator_12,6527.0,3065.821,5.28,6,5284,34782.28,0.85,0.07,0.34,,4.6,0.6,12748.61,6632.68,29.9,5903.0,,80,37,14687519.0,1.26,1934.384962,2238,319.7142857142857,6.131506849315069
treatment_company_1,-48.049999,10333,6535.0,2013-08-01,operator_13,3478.0,1833.5397,7.44,13,0,34849.93,0.6,0.01,0.33,,5.05,0.33,13660.52,6925.65,30.75,4471.0,6510.0,80,12,4935397.0,1.08,557.6717416,3852,550.2857142857143,10.553424657534247
treatment_company_12,-31.860001,14546,8500.0,2013-07-01,operator_9,5697.0,777.98065,1.54,14,0,35063.55,1.0,,0.29,,4.4,0.71,11866.83,7088.92,31.96,6368.0,9730.0,91,20,7595229.0,1.14,1231.093841,3883,554.7142857142857,10.638356164383561
treatment_company_1,-36.959999,22485,7219.0,2018-09-01,operator_11,14653.0,,11.72,9,0,29782.73,0.65,0.04,0.33,,4.62,0.37,12884.45,7160.45,31.58,,6407.0,70,73,21968912.0,0.89,2443.048341,1995,285.0,5.465753424657534
treatment_company_2,-44.509998,14492,6334.0,2016-03-01,operator_7,7962.0,1973.0684,17.58,21,12400,35351.96,0.26,0.02,0.33,0.8,4.58,0.57,13273.95,6900.74,30.76,4117.0,,96,42,12369768.0,1.21,1190.884135,2909,415.57142857142856,7.96986301369863
treatment_company_1,-22.58,19834,6526.0,2018-12-01,operator_5,13058.0,,5.38,8,7716,29441.48,0.62,0.01,0.34,0.87,4.91,0.44,13478.62,6953.4,30.86,3616.0,5766.0,75,65,23284648.0,1.12,3187.190755,1904,272.0,5.2164383561643834
treatment_company_10,-40.119999,14870,7820.0,2017-08-01,operator_4,6800.0,,75.54,1,0,34590.42,0.21,0.03,0.34,0.86,4.43,0.53,13369.16,6844.17,30.58,5233.0,9356.0,100,35,15323834.0,1.47,3824.778591,2391,341.57142857142856,6.550684931506849
treatment_company_5,-2.3299999,17658,7631.0,2014-01-01,operator_8,9024.0,820.06085,10.76,9,2649,34667.33,1.23,0.04,0.32,0.82,4.8,0.95,12583.18,7456.22,32.85,5844.0,,88,63,15461369.0,0.94,1669.353094,3699,528.4285714285714,10.134246575342466
treatment_company_5,-55.189999,18941,6099.0,2018-06-01,operator_11,12276.0,,21.1,14,0,34777.93,0.47,0.02,0.33,,4.68,0.59,13214.46,7040.7,31.16,4598.0,6212.0,69,59,17719706.0,1.1,2913.252743,2087,298.14285714285717,5.717808219178083
treatment_company_7,-4.6700001,13080,8941.0,2013-07-01,operator_11,3545.0,,2.96,18,10154,34804.16,0.18,0.02,0.26,,4.62,0.74,11849.77,7096.77,31.24,6678.0,,69,10,2977836.0,2.01,925.7441562,3883,554.7142857142857,10.638356164383561
treatment_company_11,,15760,8158.0,2014-07-01,operator_6,7221.0,4116.0757,289.05,1,3416,34470.52,1.28,0.07,0.22,,4.03,0.66,11993.24,6807.19,27.44,4746.0,8796.0,86,10,8533084.0,1.14,3079.750629,3518,502.57142857142856,9.638356164383561
