mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.531975031,0.207783654,0.060612202,0.009933817,absolute_error,20,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.61527625,0.709022688,0.609182741,0.586560747,0.63280141,0.630568767,0.041923577,1
0.513745689,0.08000131,0.019086742,0.001305979,absolute_error,30,sqrt,50,"{'criterion': 'absolute_error', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 50}",0.614580651,0.699341623,0.630060529,0.60158921,0.602648283,0.629644059,0.036333666,2
0.626330853,0.072481432,0.01896677,0.002505674,absolute_error,20,sqrt,50,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 50}",0.620814197,0.718366354,0.622171689,0.569892742,0.611556063,0.628560209,0.048779033,3
0.483835888,0.038493842,0.018279409,0.001139012,absolute_error,,sqrt,50,"{'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 50}",0.608956688,0.694938111,0.630060529,0.600188774,0.607609711,0.628350762,0.034745409,4
1.624039745,0.169155507,0.028512859,0.003702759,absolute_error,20,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.615392512,0.71002255,0.613443488,0.57558474,0.62599552,0.628087762,0.044384408,5
1.511023426,0.147974061,0.1754179,0.070832481,friedman_mse,,sqrt,500,"{'criterion': 'friedman_mse', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 500}",0.616940688,0.697288078,0.621400744,0.584723722,0.619600545,0.627990755,0.037175484,6
1.302545166,0.092129846,0.093155861,0.008852585,friedman_mse,20,log2,500,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 500}",0.609350595,0.702122604,0.620900186,0.585434778,0.622046997,0.627971032,0.039343615,7
0.917377377,0.128140548,0.101915693,0.005487569,squared_error,20,log2,500,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 500}",0.608629169,0.700769773,0.620436758,0.58946599,0.62037645,0.627935628,0.038133553,8
0.970225191,0.123037441,0.089962816,0.016673285,friedman_mse,30,sqrt,500,"{'criterion': 'friedman_mse', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 500}",0.616699682,0.69766863,0.621085556,0.584783001,0.619108346,0.627869043,0.037352134,9
7.396471405,0.399790089,0.100065899,0.009649108,absolute_error,30,sqrt,500,"{'criterion': 'absolute_error', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 500}",0.618191374,0.696042409,0.61786759,0.587948389,0.618829213,0.627775795,0.0361016,10
