feature,Importance
md_ft,0.13
proppant_volume,0.13
total_number_of_stages,0.11
tvd_ft,0.1
isip,0.07
proppant_fluid_ratio,0.07
pump_rate,0.06
azimuth,0.06
operator_operator_14,0.05
porosity,0.03
operator_operator_6,0.03
treatment_company_treatment_company_9,0.01
operator_operator_1,0.01
operator_operator_11,0.01
operator_operator_7,0.01
operator_operator_4,0.01
operator_operator_5,0.01
treatment_company_treatment_company_8,0.01
operator_operator_8,0.01
operator_infrequent_sklearn,0.01
treatment_company_treatment_company_4,0.01
treatment_company_treatment_company_3,0.01
treatment_company_treatment_company_12,0.01
treatment_company_treatment_company_11,0.01
treatment_company_treatment_company_10,0.01
treatment_company_treatment_company_1,0.01
treatment_company_treatment_company_5,0.0
treatment_company_infrequent_sklearn,0.0
treatment_company_treatment_company_2,0.0
operator_operator_2,0.0
operator_operator_20,0.0
operator_operator_25,0.0
operator_operator_26,0.0
treatment_company_treatment_company_16,0.0
operator_operator_9,0.0
treatment_company_treatment_company_7,0.0
